ano,data,descricao,dia_da_semana
2070,1970-01-01,Confraternização Universal,quarta-feira
2070,1970-02-10,Carnaval,segunda-feira
2070,1970-02-11,Carnaval,terça-feira
2070,1970-03-28,Paixão de Cristo,sexta-feira
2070,1970-04-21,Tiradentes,segunda-feira
2070,1970-05-01,Dia do Trabalho,quinta-feira
2070,1970-05-29,Corpus Christi,quinta-feira
2070,1970-09-07,Independência do Brasil,domingo
2070,1970-11-02,Finados,domingo
2070,1970-11-15,Proclamação da República,sábado
2070,1970-11-20,Dia Nacional de Zumbi e da Consciência Negra,quinta-feira
2070,1970-12-25,Natal,quinta-feira
