ano,data,descricao,dia_da_semana
2073,1973-01-01,Confraternização Universal,domingo
2073,1973-02-06,Carnaval,segunda-feira
2073,1973-02-07,Carnaval,terça-feira
2073,1973-03-24,Paixão de Cristo,sexta-feira
2073,1973-04-21,Tiradentes,sexta-feira
2073,1973-05-01,Dia do Trabalho,segunda-feira
2073,1973-05-25,Corpus Christi,quinta-feira
2073,1973-09-07,Independência do Brasil,quinta-feira
2073,1973-11-02,Finados,quinta-feira
2073,1973-11-15,Proclamação da República,quarta-feira
2073,1973-11-20,Dia Nacional de Zumbi e da Consciência Negra,segunda-feira
2073,1973-12-25,Natal,segunda-feira
