ano,data,descricao,dia_da_semana
2063,2063-01-01,Confraternização Universal,segunda-feira
2063,2063-02-26,Carnaval,segunda-feira
2063,2063-02-27,Carnaval,terça-feira
2063,2063-04-13,Paixão de Cristo,sexta-feira
2063,2063-04-21,Tiradentes,sábado
2063,2063-05-01,Dia do Trabalho,terça-feira
2063,2063-06-14,Corpus Christi,quinta-feira
2063,2063-09-07,Independência do Brasil,sexta-feira
2063,2063-11-02,Finados,sexta-feira
2063,2063-11-15,Proclamação da República,quinta-feira
2063,2063-11-20,Dia Nacional de Zumbi e da Consciência Negra,terça-feira
2063,2063-12-25,Natal,terça-feira
